,gameID,HomeAway,Outcome,goals,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,OPPgoals,OPPpim,OPPshots,OPPpowerPlayPercentage,OPPpowerPlayGoals,OPPpowerPlayOpportunities,OPPfaceOffWinPercentage,OPPblocked,OPPtakeaways,OPPgiveaways,OPPhits
175,2016020168,Away, loss,2,8,24,50,1,2,44.8,15,10,12,11,4,4,36,0,0,4,55.2,7,9,17,17
176,2016020182,Home,Win,3,6,32,33.3,1,3,53.3,9,12,9,18,1,8,35,0,0,2,46.7,16,6,5,24
177,2016020202,Home, loss,2,4,24,0,0,1,43.1,11,4,6,25,4,2,29,0,0,2,56.9,12,6,10,16
178,2016020214,Home,Win,3,14,43,0,0,5,59,11,5,5,23,2,12,21,16.7,1,6,41,27,6,5,31
179,2016020234,Away,Win,4,6,24,0,0,3,48.3,17,12,10,25,3,6,37,33.3,1,3,51.7,13,7,13,25
180,2016020247,Away, loss,1,8,27,0,0,4,50.9,7,4,11,35,6,8,30,0,0,4,49.1,18,9,14,19
181,2016020265,Away,Win,4,4,23,0,0,0,41,29,7,10,25,1,0,40,0,0,2,59,11,6,11,28
182,2016020272,Away,,2,6,30,25,1,4,51.4,8,7,7,26,2,8,35,0,0,3,48.6,21,14,12,25
183,2016020286,Home, loss,1,6,39,0,0,4,48.3,4,4,12,19,3,10,28,100,2,2,51.7,12,0,3,17
184,2016020316,Home,,1,4,23,0,0,2,56.5,13,9,10,16,1,4,37,0,0,2,43.5,21,7,7,21
185,2016020324,Away, loss,2,6,33,25,1,4,53.1,10,9,8,14,3,8,27,33.3,1,3,46.9,21,12,8,23
186,2016020336,Away,,1,4,39,33.3,1,3,47.3,14,8,12,36,1,6,33,0,0,2,52.7,18,13,15,20
187,2016020350,Away,Win,2,8,30,0,0,6,45.3,7,2,6,24,1,12,21,0,0,4,54.7,15,4,10,24
188,2016020363,Away, loss,0,16,24,0,0,4,51.7,7,8,7,27,2,10,21,0,0,7,48.3,23,7,11,28
189,2016020378,Away,Overtime Loss,3,6,30,0,0,3,39,13,11,13,31,4,6,36,0,0,3,61,14,7,10,19
190,2016020385,Away,Overtime Loss,2,10,44,0,0,2,44.8,16,9,13,34,3,6,25,25,1,4,55.2,20,10,12,28
191,2016020400,Home, loss,1,8,29,33.3,1,3,50,10,8,13,21,5,8,30,0,0,3,50,17,5,4,7
192,2016020416,Home,Win,4,8,42,0,0,2,49.3,10,6,7,20,2,4,39,25,1,4,50.7,7,9,5,15
193,2016020438,Away, loss,1,14,30,0,0,5,50,12,3,4,16,5,20,22,0,0,1,50,17,12,1,13
194,2016020451,Away,,3,10,44,100,3,3,43.1,9,2,15,9,3,12,32,0,0,2,56.9,9,7,15,14
195,2016020457,Away,Win,3,14,23,0,0,2,27.1,11,13,1,16,1,6,31,0,0,6,72.9,9,10,3,20
196,2016020487,Home,,3,13,39,25,1,4,53,10,10,8,19,3,15,36,33.3,1,3,47,10,7,7,14
197,2016020501,Home, loss,1,6,30,0,0,3,43.9,15,8,12,21,3,6,33,33.3,1,3,56.1,13,8,6,12
198,2016020510,Home,,3,10,34,16.7,1,6,38.4,12,12,11,17,3,12,39,0,0,5,61.6,12,8,16,17
199,2016020527,Home,,2,10,47,0,0,4,61.8,11,11,8,25,2,12,40,33.3,1,3,38.2,11,6,2,15
200,2016020536,Home,Overtime Loss,2,9,33,33.3,1,3,48.6,11,11,24,20,3,11,41,50,1,2,51.4,13,8,9,8
201,2016020554,Away,Win,3,8,38,100,2,2,54.8,26,5,8,20,1,4,36,25,1,4,45.2,8,4,9,21
202,2016020572,Home, loss,1,4,32,0,0,4,56.4,9,5,12,24,4,10,39,0,0,1,43.6,13,9,7,13
203,2016020585,Home,Win,2,34,34,0,0,4,58.3,7,2,10,16,1,22,29,0,0,5,41.7,6,0,3,19
204,2016020596,Home, loss,0,14,25,0,0,3,39.1,14,6,8,24,4,8,37,16.7,1,6,60.9,13,3,10,14
205,2016020609,Away,Win,3,6,29,16.7,1,6,48.9,3,4,4,19,0,13,28,0,0,2,51.1,9,5,5,16
206,2016020620,Away,Win,2,2,24,0,0,1,42.6,19,11,13,20,1,4,30,0,0,0,57.4,19,2,7,28
207,2016020636,Home, loss,2,21,29,33.3,1,3,34.4,11,8,7,26,5,15,42,0,0,6,65.6,10,3,7,22
208,2016020645,Home,Win,4,10,32,0,0,3,58.1,13,9,15,16,3,10,33,33.3,1,3,41.9,10,6,8,9
209,2016020669,Away, loss,2,8,22,0,0,4,48,16,9,9,14,5,8,29,50,2,4,52,12,12,11,7
210,2016020675,Away,Overtime Loss,3,4,31,50,1,2,50,15,12,16,25,4,4,31,50,1,2,50,20,15,23,18
211,2016020690,Away, loss,1,2,35,33.3,1,3,52.5,16,9,3,20,2,6,32,0,0,1,47.5,19,10,4,20
212,2016020713,Away,Overtime Loss,2,6,25,0,0,2,38.7,13,7,15,13,3,4,42,0,0,3,61.3,19,4,9,26
213,2016020734,Home,Win,2,15,37,33.3,1,3,50,13,9,13,29,1,13,32,25,1,4,50,7,4,7,16
214,2016020748,Home,Win,6,16,34,0,0,3,44.8,8,8,4,20,5,14,41,0,0,4,55.2,9,6,7,13
215,2016020768,Home,Win,2,13,37,0,0,5,48.3,13,3,7,26,1,17,23,0,0,3,51.7,8,5,11,26
216,2016020810,Home, loss,3,20,39,0,0,4,63.1,6,7,8,28,6,12,26,33.3,1,3,36.9,6,8,5,20
217,2016020818,Away,Win,7,22,37,33.3,2,6,48.2,15,9,7,16,4,26,31,25,1,4,51.8,8,8,11,14
218,2016020846,Away,Win,6,6,22,0,0,2,43.5,17,12,21,23,5,4,36,0,0,3,56.5,15,13,28,10
219,2016020857,Away,Win,4,8,31,33.3,1,3,27.5,9,4,5,15,1,8,36,0,0,3,72.5,12,4,9,22
220,2016020868,Away,Win,3,6,25,0,0,2,48.1,10,2,14,27,2,4,35,0,0,3,51.9,16,3,12,25
